cid	name	dG'0	pH	I	pMg	T	decompose	compound_ref	remark
C00001	H2O	-155.7	7	0.25	14	298.15	0	Alberty (2006)	
C00002	ATP	-2293.7	7	0.25	14	298.15	1	Alberty (2006)	
C00007	Oxygen	16.4	7	0.25	14	298.15	0	Alberty (2006)	
C00008	ADP	-1423.9	7	0.25	14	298.15	1	Alberty (2006)	
C00009	Orthophosphate	-1059.1	7	0.25	14	298.15	0	Alberty (2006)	
C00011	CO2	-386	7	0.25	14	298.15	0	Alberty (2006)	
C00013	Diphosphate	-1942.8	7	0.25	14	298.15	0	Alberty (2006)	
C00014	NH3	82.8	7	0.25	14	298.15	0	Alberty (2006)	
C00020	AMP	-554.9	7	0.25	14	298.15	1	Alberty (2006)	
C00022	Pyruvate	-350.8	7	0.25	14	298.15	1	Alberty (2006)	
C00023	Iron	0	7	0.25	14	298.15	0	Element	
C00025	L-Glutamate	-372.4	7	0.25	14	298.15	1	Alberty (2006)	
C00026	2-Oxoglutarate	-633.7	7	0.25	14	298.15	1	Alberty (2006)	
C00027	Hydrogen peroxide	-52.5	7	0.25	14	298.15	0	Alberty (2006)	
C00031	D-Glucose	-427	7	0.25	14	298.15	1	Alberty (2006)	
C00033	Acetate	-247.9	7	0.25	14	298.15	1	Alberty (2006)	
C00034	Manganese	0	7	0.25	14	298.15	0	Element	
C00036	Oxaloacetate	-715	7	0.25	14	298.15	1	Alberty (2006)	
C00037	Glycine	-176.2	7	0.25	14	298.15	1	Alberty (2006)	
C00041	L-Alanine	-85.8	7	0.25	14	298.15	1	Alberty (2006)	
C00042	Succinate	-530.7	7	0.25	14	298.15	1	Alberty (2006)	
C00048	Glyoxylate	-428.7	7	0.25	14	298.15	1	Alberty (2006)	
C00049	L-Aspartate	-452.3	7	0.25	14	298.15	1	Alberty (2006)	
C00058	Formate	-311.1	7	0.25	14	298.15	0	Alberty (2006)	
C00059	Sulfate	-747.8	7	0.25	14	298.15	0	Alberty (2006)	
C00064	L-Glutamine	-120.6	7	0.25	14	298.15	1	Alberty (2006)	
C00065	L-Serine	-225.7	7	0.25	14	298.15	1	Alberty (2006)	
C00067	Formaldehyde	-40	7	0.25	14	298.15	0	Maden (2000)	The value in Alberty (2006) is probably wrong
C00074	Phosphoenolpyruvate	-1189.5	7	0.25	14	298.15	1	Alberty (2006)	
C00078	L-Tryptophan	374.2	7	0.25	14	298.15	1	Alberty (2006)	
C00079	L-Phenylalanine	241.1	7	0.25	14	298.15	1	Alberty (2006)	
C00080	H+	0	0	0	14	298.15	0	Element	
C00082	L-Tyrosine	77.5	7	0.25	14	298.15	1	Alberty (2006)	
C00084	Acetaldehyde	24	7	0.25	14	298.15	1	Alberty (2006)	
C00085	D-Fructose 6-phosphate	-1316	7	0.25	14	298.15	1	Alberty (2006)	
C00086	Urea	-39.8	7	0.25	14	298.15	0	Alberty (2006)	
C00088	Nitrite	-33	7	0.25	14	298.15	0	Alberty (2006)	
C00087	Sulfur	0	7	0.25	14	298.15	0	Element	
C00089	Sucrose	-668.3	7	0.25	14	298.15	1	Alberty (2006)	
C00092	D-Glucose 6-phosphate	-1319.1	7	0.25	14	298.15	1	Alberty (2006)	
C00093	sn-Glycerol 3-phosphate	-1077.2	7	0.25	14	298.15	1	Alberty (2006)	
C00094	Sulfite	-488	7	0.25	14	298.15	0	Alberty (2006)	
C00095	D-Fructose	-426.6	7	0.25	14	298.15	1	Alberty (2006)	
C00097	L-Cysteine	-53.7	7	0.25	14	298.15	1	Alberty (2006)	
C00103	D-Glucose 1-phosphate	-1312	7	0.25	14	298.15	1	Alberty (2006)	
C00111	Glycerone phosphate	-1095.9	7	0.25	14	298.15	1	Alberty (2006)	
C00116	Glycerol	-171.5	7	0.25	14	298.15	1	Alberty (2006)	
C00117	D-Ribose 5-phosphate	-1232.4	7	0.25	14	298.15	1	Alberty (2006)	
C00118	D-Glyceraldehyde 3-phosphate	-1088.2	7	0.25	14	298.15	1	Alberty (2006)	
C00119	5-Phospho-alpha-D-ribose 1-diphosphate	-2977.4	7	0.25	14	298.15	1	Alberty (2006)	
C00121	D-Ribose	-331.3	7	0.25	14	298.15	1	Alberty (2006)	
C00122	Fumarate	-523.6	7	0.25	14	298.15	1	Alberty (2006)	
C00123	L-Leucine	177.4	7	0.25	14	298.15	1	Alberty (2006)	
C00124	D-Galactose	-420	7	0.25	14	298.15	1	Alberty (2006)	
C00132	Methanol	-12.3	7	0.25	14	298.15	0	Alberty (2006)	
C00147	Adenine	517.1	7	0.25	14	298.15	1	Alberty (2006)	
C00149	(S)-Malate	-682.9	7	0.25	14	298.15	1	Alberty (2006)	
C00152	L-Asparagine	-200.1	7	0.25	14	298.15	1	Alberty (2006)	
C00158	Citrate	-966.3	7	0.25	14	298.15	1	Alberty (2006)	
C00159	D-Mannose	-421.1	7	0.25	14	298.15	1	Alberty (2006)	
C00160	Glycolate	-409.5	7	0.25	14	298.15	1	Alberty (2006)	
C00164	Acetoacetate	-279.6	7	0.25	14	298.15	1	Alberty (2006)	
C00181	D-Xylose	-343	7	0.25	14	298.15	1	Alberty (2006)	
C00183	L-Valine	89.5	7	0.25	14	298.15	1	Alberty (2006)	
C00184	Glycerone	-206.5	7	0.25	14	298.15	1	Alberty (2006)	
C00186	(S)-Lactate	-313.8	7	0.25	14	298.15	1	Alberty (2006)	
C00188	L-Threonine	-162.2	7	0.25	14	298.15	1	Alberty (2006)	
C00197	3-Phospho-D-glycerate	-1347	7	0.25	14	298.15	1	Alberty (2006)	
C00198	D-Glucono-1,5-lactone	-496.1	7	0.25	14	298.15	1	Alberty (2006)	
C00199	D-Ribulose 5-phosphate	-1232	7	0.25	14	298.15	1	Alberty (2006)	
C00207	Acetone	84.8	7	0.25	14	298.15	1	Alberty (2006)	
C00208	Maltose	-678.3	7	0.25	14	298.15	1	Alberty (2006)	
C00209	Oxalate	-677.1	7	0.25	14	298.15	1	Alberty (2006)	
C00212	Adenosine	335.1	7	0.25	14	298.15	1	Alberty (2006)	
C00216	D-Arabinose	-334.8	7	0.25	14	298.15	1	Alberty (2006)	
C00218	Methylamine	203.8	7	0.25	14	298.15	0	Alberty (2006)	
C00224	Adenylyl sulfate	-1056.3	7	0.25	14	298.15	1	Alberty (2006)	
C00227	Acetyl phosphate	-1100.5	7	0.25	14	298.15	1	Alberty (2006)	
C00233	4-Methyl-2-oxopentanoate	-79.3	7	0.25	14	298.15	1	Alberty (2006)	
C00236	3-Phospho-D-glyceroyl phosphate	-2206.2	7	0.25	14	298.15	1	Alberty (2006)	
C00237	CO	-119.9	7	0.25	14	298.15	0	Alberty (2006)	
C00243	Lactose	-671	7	0.25	14	298.15	1	Alberty (2006)	
C00244	Nitrate	-109.5	7	0.25	14	298.15	0	Alberty (2006)	
C00246	Butanoic acid	-68.2	7	0.25	14	298.15	1	Alberty (2006)	
C00247	L-Sorbose	-423	7	0.25	14	298.15	1	Alberty (2006)	
C00249	Hexadecanoic acid	1002.9	7	0.25	14	298.15	1	Alberty (2006)	
C00252	Isomaltose	-691.3	7	0.25	14	298.15	1	Alberty (2006)	
C00257	D-Gluconic acid	-680.9	7	0.25	14	298.15	1	Thauer (1977)	
C00258	D-Glycerate	-458.1	7	0.25	14	298.15	1	Alberty (2006)	
C00262	Hypoxanthine	252.3	7	0.25	14	298.15	1	Alberty (2006)	
C00275	D-Mannose 6-phosphate	-1315	7	0.25	14	298.15	1	Alberty (2006)	
C00282	Hydrogen	99.1	7	0.25	14	298.15	0	Alberty (2006)	
C00283	Hydrogen sulfide	51.5	7	0.25	14	298.15	0	Alberty (2006)	
C00288	CO2(tot)	-547	7	0.25	14	298.15	0	Alberty (2006)	
C00294	Inosine	79.7	7	0.25	14	298.15	1	Alberty (2006)	
C00300	Creatine	107.5	7	0.25	14	298.15	1	Alberty (2006)	
C00305	Magnesium cation	-458.5	7	0.25	14	298.15	0	Alberty (2006)	
C00309	D-Ribulose	-328.5	7	0.25	14	298.15	1	Alberty (2006)	
C00310	D-Xylulose	-338.7	7	0.25	14	298.15	1	Alberty (2006)	
C00311	Isocitrate	-959.6	7	0.25	14	298.15	1	Alberty (2006)	
C00354	D-Fructose 1,6-bisphosphate	-2207	7	0.25	14	298.15	1	Alberty (2006)	
C00366	Urate	-194.9	7	0.25	14	298.15	1	Alberty (2006)	
C00379	Xylitol	-295.2	7	0.25	14	298.15	1	Alberty (2006)	
C00392	Mannitol	-372.2	7	0.25	14	298.15	1	Alberty (2006)	
C00407	L-Isoleucine	185.8	7	0.25	14	298.15	1	Alberty (2006)	
C00417	cis-Aconitate	-802.2	7	0.25	14	298.15	1	Alberty (2006)	
C00463	Indole	509	7	0.25	14	298.15	1	Alberty (2006)	
C00469	Ethanol	62.8	7	0.25	14	298.15	1	Alberty (2006)	
C00476	D-Lyxose	-341.7	7	0.25	14	298.15	1	Alberty (2006)	
C00491	L-Cystine	-177.7	7	0.25	14	298.15	1	Alberty (2006)	
C00533	Nitric oxide	86.5	7	0.25	14	298.15	0	Alberty (2006)	
C00543	Dimethylamine	321.8	7	0.25	14	298.15	0	Thauer (1977)	
C00565	Trimethylamine	443.8	7	0.25	14	298.15	0	Thauer (1977)	
C00575	3',5'-Cyclic AMP	-343.5	7	0.25	14	298.15	1	Alberty (2006)	
C00577	D-Glyceraldehyde	-195.6	7	0.25	14	298.15	1	Alberty (2006)	
C00620	alpha-D-Ribose 1-phosphate	-1224.3	7	0.25	14	298.15	1	Alberty (2006)	
C00631	2-Phospho-D-glycerate	-1340.7	7	0.25	14	298.15	1	Alberty (2006)	
C00636	D-Mannose 1-phosphate	-1309.7	7	0.25	14	298.15	1	Alberty (2006)	
C00644	D-Mannitol 1-phosphate	-1267.4	7	0.25	14	298.15	1	Alberty (2006)	
C00673	2-Deoxy-D-ribose 5-phosphate	-1084.6	7	0.25	14	298.15	1	Alberty (2006)	
C00697	Nitrogen	18.7	7	0.25	14	298.15	0	Alberty (2006)	
C00791	Creatinine	261.9	7	0.25	14	298.15	1	Alberty (2006)	
C00794	D-Sorbitol	-375.9	7	0.25	14	298.15	1	Alberty (2006)	
C00849	Ethyl acetate	-11.7	7	0.25	14	298.15	1	Alberty (2006)	
C00887	Nitrous oxide	104.2	7	0.25	14	298.15	0	Alberty (2006)	
C01005	O-Phospho-L-serine	-1119.8	7	0.25	14	298.15	1	Alberty (2006)	
C01013	3-Hydroxypropanoate	-315.5	7	0.25	14	298.15	1	Alberty (2006)	
C01083	alpha,alpha-Trehalose	-686.4	7	0.25	14	298.15	1	Alberty (2006)	
C01096	Sorbitol 6-phosphate	-1266.9	7	0.25	14	298.15	1	Alberty (2006)	
C01112	D-Arabinose 5-phosphate	-1235	7	0.25	14	298.15	1	Alberty (2006)	
C01113	D-Galactose 6-phosphate	-1312	7	0.25	14	298.15	1	Alberty (2006)	
C01127	4-Hydroxy-2-oxoglutarate	-812	7	0.25	14	298.15	1	Alberty (2006)	
C01236	D-Glucono-1,5-lactone 6-phosphate	-1382.8	7	0.25	14	298.15	1	Alberty (2006)	
C01326	Hydrogen cyanide	160.3	7	0.25	14	298.15	0	Wagman (1982)	
C01353	Carbonic acid	-546.8	7	0.25	14	298.15	0	Alberty (2006)	
C01384	Maleic acid	-513.8	7	0.25	14	298.15	1	Alberty (2006)	
C01412	Butanal	196.1	7	0.25	14	298.15	1	Alberty (2006)	
C01417	Cyanate	-98.2	7	0.25	14	298.15	0	Alberty (2006)	
C01438	Methane	128.6	7	0.25	14	298.15	0	Alberty (2006)	
C01507	L-Iditol	-374.3	7	0.25	14	298.15	1	Alberty (2006)	
C01755	Thiocyanate	91.8	7	0.25	14	298.15	0	Wagman (1982)	
C01845	Propan-2-ol	140.7	7	0.25	14	298.15	1	Alberty (2006)	
C02037	Glycylglycine	-194.6	7	0.25	14	298.15	1	Alberty (2006)	
C02226	2-Methylmaleate	-441	7	0.25	14	298.15	1	Alberty (2006)	
C02271	Dichloromethane	15.4	7	0.25	14	298.15	0	Dolfing (1994)	
C02357	2-Chlorobenzoate	-75.7	7	0.25	14	298.15	1	Dolfing (1992)	
C02359	2-Fluorobenzoate	-236.5	7	0.25	14	298.15	1	Dolfing (1992)	
C02364	3-Fluorobenzoate	-231	7	0.25	14	298.15	1	Dolfing (1992)	
C02370	4-Chlorobenzoate	-77.3	7	0.25	14	298.15	1	Dolfing (1992)	
C02371	4-Fluorobenzoate	-226	7	0.25	14	298.15	1	Dolfing (1992)	
C02612	(R)-2-Methylmalate	-602.7	7	0.25	14	298.15	1	Alberty (2006)	
C03196	(S)-2-Hydroxyglutarate	-599	7	0.25	14	298.15	1	Alberty (2006)	
C03232	3-Phosphonooxypyruvate	-1374.5	7	0.25	14	298.15	1	Alberty (2006)	
C03383	D-Galactono-1,4-lactone	-497.9	7	0.25	14	298.15	1	Alberty (2006)	
C03384	D-Galactose 1-phosphate	-1311.8	7	0.25	14	298.15	1	Alberty (2006)	
C05361	Hydrazine	290.9	7	0.25	14	298.15	0	Thauer (1977)	
C05572	4-Oxoglutaramate	-352.2	7	0.25	14	298.15	1	Alberty (2006)	
C05979	Propane-1-ol	150.1	7	0.25	14	298.15	1	Alberty (2006)	
C05984	2-Hydroxybutanoic acid	-221.9	7	0.25	14	298.15	1	Thauer (1977)	
C06142	1-Butanol	235.6	7	0.25	14	298.15	1	Alberty (2006)	
C06547	Ethylene	244.4	7	0.25	14	298.15	1	Dolfing (1994)	
C06670	2,4-Dichlorobenzoate	-155	7	0.25	14	298.15	1	Dolfing (1992)	
C06752	1,2-Dichloroethane	90	7	0.25	14	298.15	1	Dolfing (1994)	
C06789	Tetrachloroethene	27.6	7	0.25	14	298.15	1	Dolfing (1994)	
C06790	Trichloroethene	66.2	7	0.25	14	298.15	1	Dolfing (1994)	
C06791	trans-1,2-Dichloroethene	113.5	7	0.25	14	298.15	1	Dolfing (1994)	
C06792	cis-1,2-Dichloroethene	109.3	7	0.25	14	298.15	1	Dolfing (1994)	
C06793	Vinyl chloride	181.9	7	0.25	14	298.15	1	Dolfing (1994)	
C07561	Carbon tetrachloride	-45.1	7	0.25	14	298.15	0	Dolfing (1994)	
C09306	Sulfur dioxide	-300.7	7	0.25	14	298.15	0	Thauer (1977)	
C13827	Chloroform	-25.8	7	0.25	14	298.15	0	Dolfing (1994)	
C14039	1,1-Dichloroethylene	113.7	7	0.25	14	298.15	1	Dolfing (1994)	
C14400	1,2,3-Trichloropropane	103.2	7	0.25	14	298.15	1	Dolfing (1994)	
C14705	1,1,1,2-Tetrachloroethane	3.7	7	0.25	14	298.15	1	Dolfing (1994)	
C14818	Fe2+	-82.1	7	0.25	14	298.15	0	Thauer (1977)	
C14819	Fe3+	-11.9	7	0.25	14	298.15	0	Thauer (1977)	
C18246	1,1,1-Trichloroethane	53.2	7	0.25	14	298.15	1	Dolfing (1994)	
C18247	1,1-Dichloroethane	94.3	7	0.25	14	298.15	1	Dolfing (1994)	
C18248	Chloroethane	166.9	7	0.25	14	298.15	1	Dolfing (1994)	
C19034	1,2-Dichloropropane	164.6	7	0.25	14	298.15	1	Dolfing (1994)	
C19248	Hexachloroethane	-49.6	7	0.25	14	298.15	1	Dolfing (1994)	
C19496	Pentachloroethane	-27.5	7	0.25	14	298.15	1	Dolfing (1994)	
C19536	1,1,2-Trichloroethane	44.6	7	0.25	14	298.15	1	Dolfing (1994)	
C80002	Monochlorobenzene	306	7	0.25	14	298.15	1	Dolfing (1992)	
C80003	1,2-Dichlorobenzene	247.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80004	1,3-Dichlorobenzene	244.8	7	0.25	14	298.15	1	Dolfing (1992)	
C80005	1,4-Dichlorobenzene	241.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80006	1,2,3-Trichlorobenzene	193.9	7	0.25	14	298.15	1	Dolfing (1992)	
C80007	1,2,4-Trichlorobenzene	182.7	7	0.25	14	298.15	1	Dolfing (1992)	
C80008	1,3,5-Trichlorobenzene	179	7	0.25	14	298.15	1	Dolfing (1992)	
C80009	1,2,3,4-Tetrachlorobenzene	137.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80010	1,2,3,5-Tetrachlorobenzene	130.7	7	0.25	14	298.15	1	Dolfing (1992)	
C80011	1,2,4,5-Tetrachlorobenzene	135	7	0.25	14	298.15	1	Dolfing (1992)	
C80012	Pentachlorobenzene	86.4	7	0.25	14	298.15	1	Dolfing (1992)	
C80013	Hexachlorobenzene	46	7	0.25	14	298.15	1	Dolfing (1992)	
C80014	3-Chlorobenzoate	-83.8	7	0.25	14	298.15	1	Dolfing (1992)	
C80015	2,3-Dichlorobenzoate	-148.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80016	2,5-Dichlorobenzoate	-157.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80017	2,6-Dichlorobenzoate	-141.2	7	0.25	14	298.15	1	Dolfing (1992)	
C80018	3,4-Dichlorobenzoate	-142.8	7	0.25	14	298.15	1	Dolfing (1992)	
C80019	3,5-Dichlorobenzoate	-152.1	7	0.25	14	298.15	1	Dolfing (1992)	
C80020	2,3,5-Trichlorobenzoate	-212.7	7	0.25	14	298.15	1	Dolfing (1992)	
C80021	3,4,5-Trichlorobenzoate	-200.9	7	0.25	14	298.15	1	Dolfing (1992)	
C80022	2-Bromobenzoate	-47.3	7	0.25	14	298.15	1	Dolfing (1992)	
C80023	3-Bromobenzoate	-40.8	7	0.25	14	298.15	1	Dolfing (1992)	
C80024	4-Bromobenzoate	-34.1	7	0.25	14	298.15	1	Dolfing (1992)	
C80025	2-Iodobenzoate	15.7	7	0.25	14	298.15	1	Dolfing (1992)	
C80026	3-Iodobenzoate	18.1	7	0.25	14	298.15	1	Dolfing (1992)	
C80027	4-Iodobenzoate	20.9	7	0.25	14	298.15	1	Dolfing (1992)	
C80028	2-Amino-5-chlorobenzoate	-12.6	7	0.25	14	298.15	1	Dolfing (1992)	
C80029	2-Hydroxy-5-chlorobenzoate	-246.7	7	0.25	14	298.15	1	Dolfing (1992)	
C80030	2-Methyl-5-chlorobenzoate	6.6	7	0.25	14	298.15	1	Dolfing (1992)	
C80043	Chloromethane	69.5	7	0.25	14	298.15	0	Dolfing (1994)	
C80045	Ethane	227	7	0.25	14	298.15	1	Dolfing (1994)	
C80046	1,1,2,2-Tetrachloroethane	-7.4	7	0.25	14	298.15	1	Dolfing (1994)	
C80047	Propane	318.6	7	0.25	14	298.15	1	Dolfing (1994)	
C80048	1-Chloropropane	240.5	7	0.25	14	298.15	1	Dolfing (1994)	
C80049	1,3-Dichloropropane	164.1	7	0.25	14	298.15	1	Dolfing (1994)	
C80050	Butane	407.2	7	0.25	14	298.15	1	Dolfing (1994)	
C80051	1-Chlorobutane	334.9	7	0.25	14	298.15	1	Dolfing (1994)	
C80052	2-Chlorobutane	321.1	7	0.25	14	298.15	1	Dolfing (1994)	
C80053	Pentane	498.2	7	0.25	14	298.15	1	Dolfing (1994)	
C80054	1-Chloropentane	418.6	7	0.25	14	298.15	1	Dolfing (1994)	
C80055	CH3NHp	444	7	0.25	14	298.15	0	Wagman (1982)	
C11143	DMSO						0		Placeholder just to tell CC not to try to decompose this compound
