reaction	dGr	dGrSD
"r_0504"	-2.8108	2.6616
"r_0505"	-2.8108	2.6616
"r_0506"	29.6833	2.7496
"r_0507"	-23.9414	6.5319
"r_0508"	40.8886	6.2065
"r_0509"	-41.7918	6.2166
"r_0510"	-49.0894	4.4392
"r_0511"	-9.9257	4.6487
"r_0512"	-9.0225	4.6371
"r_0513"	-8.2008	4.6669
"r_0514"	-51.062	3.3005
"r_0515"	-18.4502	6.2879
"r_0516"	-13.6187	3.248
"r_0520"	-18.2372	4.3916
"r_0521"	-18.2372	4.3916
"r_0522"	-309.1342	4.8544
"r_0523"	-309.1342	4.8544
"r_0524"	-21.6164	5.2868
"r_0525"	8.0041	4.5322
"r_0526"	25.1763	4.9991
"r_0527"	-16.0783	5.2009
"r_0528"	-10.5726	3.0115
"r_0529"	5.0516	4.4368
"r_0530"	-26.1213	4.3737
"r_0531"	-26.1213	4.3737
"r_0536"	-240.4077	70710.6784
"r_0537"	-41.8294	2.7075
"r_0538"	-24.6654	6.8661
"r_0539"	-6.8298	1.8002
"r_0540"	-6.8298	1.8002
"r_0541"	76.5207	70710.6786
"r_0542"	4.9758	4.4497
"r_0546"	-56.8311	70710.6785
"r_0548"	0	0
"r_0551"	-55.8032	100000.0005
"r_0552"	-1.7968	3.9247
"r_0561"	-98.6749	7.5831
"r_0562"	-69.7414	10.4362
"r_0563"	-47.5613	8.9078
"r_0564"	8.26	100000.0003
"r_0565"	-28.762	3.2097
"r_0566"	-20.6006	6.4668
"r_0567"	-3.1372	1.732
"r_0568"	-5.7852	2.5161
"r_0569"	-319.4254	141421.3563
"r_0570"	-169.3617	141421.3565
"r_0571"	-0.61669	100000.0004
"r_0572"	-14.9646	4.3286
"r_0573"	-12.2334	5.0091
"r_0574"	-17.0873	4.7158
"r_0575"	-13.9216	12.8467
"r_0576"	-14.0379	2.8251
"r_0577"	7.8897	4.2426
"r_0580"	51.8968	100000.0003
"r_0581"	2.7377	3.9068
"r_0582"	-30.3282	5.4854
"r_0583"	-30.3282	5.4854
"r_0584"	22.1539	100000.0004
"r_0585"	19.4039	5.5853
"r_0586"	-22.7083	4.9096
"r_0587"	-23.6115	4.9016
"r_0588"	-27.51	7.5923
"r_0589"	-16.6674	6.5189
"r_0593"	-31.5095	5.1514
"r_0594"	-31.5095	5.1514
"r_0595"	-73.7485	3.175
"r_0596"	-17.6627	4.7589
"r_0597"	-128.3288	18.7155
"r_0598"	6.2038	8.8151
"r_0599"	-18.9301	5.3825
"r_0600"	-18.9301	5.3825
"r_0601"	-12.9304	4.4844
"r_0602"	-16.3843	3.6284
"r_0603"	-26.4111	2.2826
"r_0604"	-8.2444	100000.0002
"r_0605"	-40.9323	2.6857
"r_0606"	22.3136	6.5891
"r_0607"	25.3233	6.2399
"r_0608"	-74.8832	8.8436
"r_0609"	5.1348	6.4386
"r_0610"	-16.0235	4.2516
"r_0611"	-16.0235	4.2516
"r_0612"	-30.521	4.5377
"r_0613"	-25.5668	4.5377
"r_0614"	-25.5704	4.5377
"r_0615"	-20.6093	4.5377
"r_0616"	-20.6129	4.5377
"r_0617"	0	0
"r_0619"	-20.4885	5.0339
"r_0620"	28.8296	8.6199
"r_0621"	0	0
"r_0622"	234.0279	70710.6782
"r_0623"	0	0
"r_0624"	235.1457	70710.6782
"r_0627"	-27.8064	4.9864
"r_0628"	-27.8064	4.9864
"r_0629"	6.9716	5.0986
"r_0630"	7.8748	5.1074
"r_0631"	7.8748	5.1074
"r_0632"	7.8748	5.1074
"r_0633"	10.5368	3.2334
"r_0634"	-6.378	4.8467
"r_0635"	-6.378	4.8467
"r_0638"	-4.9024	4.2426
"r_0639"	-5.5297	1.8816
"r_0640"	-20.4294	4.415
"r_0641"	-57.175	5.0127
"r_0642"	-437.265	6.3697
"r_0643"	-15.2575	6.3836
"r_0644"	22.59	6.0836
"r_0645"	-18.468	6.0871
"r_0646"	-37.8476	8.5989
"r_0647"	-0.20722	0.76875
"r_0648"	-6.4728	2.8831
"r_0649"	18.8282	4.415
"r_0650"	9.0681	5.7698
"r_0651"	8.165	5.7922
"r_0652"	-12.6711	6.3884
"r_0653"	-12.6711	6.3884
"r_0654"	-12.9166	2.2005
"r_0655"	-12.9166	2.2005
"r_0656"	-12.9166	2.2005
"r_0657"	13.6126	7.2827
"r_0658"	13.6126	7.2827
"r_0659"	27.7805	9.529
"r_0660"	28.6837	9.5344
"r_0661"	-27.7805	9.529
"r_0662"	-28.6837	9.5344
"r_0663"	-10.9988	5.1374
"r_0664"	-25.4273	4.6781
"r_0665"	25.8777	4.835
"r_0666"	14.3024	5.607
"r_0667"	-21.2363	7.3027
"r_0668"	-21.2363	7.3027
"r_0669"	-346.5119	7.598
"r_0670"	-80.1167	100000.0003
"r_0671"	-47.4703	8.9428
"r_0672"	-23.471	4.2426
"r_0673"	-1128.5936	320713.4909
"r_0674"	-1.1971	2.282
"r_0675"	-1.1971	2.282
"r_0678"	26.8707	3.2181
"r_0679"	26.8707	3.2181
"r_0680"	26.8685	3.2181
"r_0681"	26.8685	3.2181
"r_0682"	26.8685	3.2181
"r_0683"	26.8685	3.2181
"r_0688"	39.3984	7.5399
"r_0689"	39.3984	7.5399
"r_0690"	39.3984	7.5399
"r_0691"	-42.718	7.7746
"r_0692"	-42.718	7.7746
"r_0693"	22.1477	7.5206
"r_0694"	23.0509	7.5299
"r_0697"	-4.2905	5.9999
"r_0698"	-0.69456	1.6756
"r_0699"	-6.7499	4.4446
"r_0700"	-6.7499	4.4446
"r_0701"	-106.6389	100000.0002
"r_0702"	-6.8036	8.3908
"r_0706"	7.3808	1.6276
"r_0707"	8.2839	1.6498
"r_0708"	8.2839	1.6498
"r_0709"	-56.0397	2.598
"r_0710"	10.8081	3.82
"r_0711"	-14.3304	4.9885
"r_0712"	-14.9627	5.786
"r_0713"	-11.7271	5.3332
"r_0714"	-11.4572	5.3058
"r_0715"	-33.5558	5.5203
"r_0716"	-20.0782	4.415
"r_0717"	-20.0782	4.415
"r_0718"	-20.0782	4.415
"r_0719"	-20.0782	4.415
"r_0720"	-20.3881	4.415
"r_0721"	-20.3881	4.415
"r_0722"	-20.3881	4.415
"r_0725"	-19.8643	1.7111
"r_0726"	-32.1538	6.037
"r_0728"	-7.5408	4.6487
"r_0729"	-19.5356	6.6458
"r_0730"	-95.5353	7.627
"r_0731"	-25.1089	5.8899
"r_0732"	-19.5982	6.9964
"r_0733"	-120.4539	5.2982
"r_0734"	-37.8793	8.5989
"r_0735"	-36.3227	9.5231
"r_0736"	-12.0923	5.9999
"r_0737"	-12.0923	5.9999
"r_0738"	-33.7013	6.0423
"r_0739"	-33.7013	6.0423
"r_0740"	-18.7735	6.9975
"r_0741"	-18.7735	6.9975
"r_0742"	-136.9752	7.7331
"r_0743"	-11.1891	6.0196
"r_0744"	-11.1891	6.0196
"r_0746"	-14.5586	4.2655
"r_0747"	-14.5586	4.2655
"r_0748"	-2.0112	5.9999
"r_0749"	-2.0112	5.9999
"r_0756"	-5.5871	5.915
"r_0757"	-5.5871	5.915
"r_0758"	71.1651	100000.0002
"r_0759"	1.3346	5.9999
"r_0760"	1.3346	5.9999
"r_0761"	-20.0972	6.8725
"r_0762"	-20.0972	6.8725
"r_0763"	-26.0006	10.1233
"r_0764"	-26.0006	10.1233
"r_0765"	-10.016	6.4815
"r_0766"	-24.3607	4.2668
"r_0767"	-27.0133	6.0161
"r_0768"	-23.5137	4.6037
"r_0769"	-23.5137	4.6037
"r_0770"	-21.0455	6.27
"r_0771"	0.63223	3.5529
"r_0772"	2.648	1.825
"r_0773"	-2102.6567	100000.0001
"r_0774"	1.8633	3.0745
"r_0775"	3.0915	3.5482
"r_0776"	2.0985	1.4892
"r_0777"	-2.6033	1.9284
"r_0778"	4.0025	2.1104
"r_0779"	-2.8732	1.8275
"r_0780"	-28.5143	5.235
"r_0781"	-24.0476	4.6733
"r_0782"	-57.3108	5.4968
"r_0783"	-68.9365	8.0329
"r_0785"	13.8805	2.2005
"r_0786"	-56.6124	8.7706
"r_0787"	-59.4941	8.1107
"r_0789"	-6.8799	6.3249
"r_0790"	-20.998	6.0871
"r_0791"	-16.5631	6.3249
"r_0792"	-3.7519	2.2574
"r_0793"	-8.2967	1.8973
"r_0794"	-13.2242	12.2965
"r_0804"	-4.5147	3.8431
"r_0805"	-28.3888	6.5657
"r_0810"	-392.7975	6.8337
"r_0814"	-19.7683	7.7827
"r_0815"	-19.7683	7.7827
"r_0816"	-5.6706	7.1441
"r_0817"	-41.9016	4.6574
"r_0818"	-24.8269	4.6518
"r_0819"	-24.8269	4.6518
"r_0820"	-24.8269	4.6518
"r_0821"	-14.1516	8.7368
"r_0822"	-24.8269	4.6518
"r_0823"	-24.8269	4.6518
"r_0824"	-24.8368	4.6518
"r_0825"	-0.47156	3
"r_0828"	-30.5125	8.5625
"r_0855"	6.9667	2.762
"r_0857"	10.2024	4.535
"r_0858"	1.0159	5.9999
"r_0859"	-15.3387	4.3536
"r_0860"	-17.4226	4.4844
"r_0861"	-2.1182	2.7775
"r_0862"	10.8451	4.6205
"r_0863"	-2.7544	2.4495
"r_0864"	34.2398	4.3204
"r_0865"	18.4822	0.63865
"r_0866"	-4.1914	0.52225
"r_0875"	-4.34	2.1672
"r_0876"	-4.2153	2.1697
"r_0877"	-2.445	3
"r_0878"	-46.9983	7.79
"r_0879"	-16.2545	6.0871
"r_0880"	-13.2211	2.4843
"r_0881"	-2449.0162	141421.3564
"r_0883"	-2.8495	7.5063
"r_0884"	23.3041	70710.6791
"r_0885"	9.2053	4.2426
"r_0886"	-51.5994	6.5706
"r_0887"	-5.2475	1.3317
"r_0888"	18.5193	70710.6784
"r_0889"	-7.8809	7.0469
"r_0890"	-19.5144	5.0691
"r_0891"	1.7522	4.947
"r_0892"	-10.4313	0.40054
"r_0893"	-11.5207	0.54434
"r_0894"	1.3628	2.4791
"r_0895"	-397.3264	6.1255
"r_0902"	-105.4948	6.3489
"r_0908"	-105.4278	6.1937
"r_0909"	-104.2252	6.3489
"r_0910"	-103.0151	6.3489
"r_0911"	-128.4926	11.8335
"r_0912"	-70.2154	10.9793
"r_0913"	-69.3122	10.9854
"r_0914"	50.5892	9.4992
"r_0916"	-1374.0117	824621.1279
"r_0917"	-17.2337	5.9999
"r_0918"	8.6218	1.9182
"r_0919"	8.6218	1.9182
"r_0920"	10.7853	4.8989
"r_0921"	14.1005	5.001
"r_0922"	9.7905	2.4495
"r_0923"	11.2933	3
"r_0924"	11.2933	3
"r_0925"	9.0544	1.544
"r_0926"	10.9693	4.2426
"r_0927"	-16.4203	4.9447
"r_0929"	-97.8871	7.627
"r_0930"	-10.2667	5.5766
"r_0931"	-110.9594	6.0699
"r_0932"	-10.9801	5.1497
"r_0933"	-105.5192	6.763
"r_0934"	-13.7144	1.4645
"r_0935"	4.1814	1.8973
"r_0936"	-51.4924	9.4867
"r_0937"	-4.4928	4.3711
"r_0938"	-18.1214	6.3636
"r_0939"	-28.4967	6.6722
"r_0940"	-35.553	4.6643
"r_0941"	-27.4531	4.2867
"r_0942"	-240.9195	70710.6784
"r_0943"	-172.9754	6.4062
"r_0944"	-469.7354	6.6596
"r_0946"	5.1674	4.9609
"r_0947"	5.1674	4.9609
"r_0948"	-132.3977	6.8518
"r_0949"	-63.6819	5.9533
"r_0950"	-26.782	4.9619
"r_0963"	3.6811	1.9263
"r_0964"	-33.1812	7.8089
"r_0965"	-3.5566	1.6695
"r_0966"	-9.5526	100000.0002
"r_0967"	6.4579	100000.0004
"r_0968"	-27.5032	5.4387
"r_0969"	37.8422	5.9999
"r_0970"	-30.4578	5.8895
"r_0971"	12.2736	3.6259
"r_0972"	15.658	5.3906
"r_0974"	-6.7767	4.2426
"r_0976"	-45.5866	5.3892
"r_0977"	-3.5204	4.6927
"r_0978"	-66.9196	141421.3563
"r_0979"	81.0247	141421.3569
"r_0980"	-47.7241	6.5725
"r_0981"	-17.8223	4.7542
"r_0982"	37.3189	100000.0003
"r_0983"	36.1091	100000.0003
"r_0984"	1.359	2.4791
"r_0985"	-16.0222	1.4645
"r_0986"	-16.0081	1.4645
"r_0987"	-10.6287	4.4844
"r_0988"	-10.6428	4.4844
"r_0989"	-5.0512	3.3742
"r_0990"	-5.0512	3.3742
"r_0991"	-417.6656	7.0134
"r_0992"	-418.5688	7.0202
"r_0993"	-160.7119	6.9993
"r_0994"	-395.9123	6.4925
"r_1001"	-68.1814	8.1464
"r_1002"	-115.9055	7.6919
"r_1003"	-2.0203	1.9297
"r_1004"	-33.8343	9.1056
"r_1005"	-24.8093	1.8465
"r_1006"	47.424	4.5608
"r_1007"	58.0513	4.5771
"r_1008"	127.8264	22.294
"r_1010"	-190.4236	70710.6788
"r_1011"	36.3504	6.9083
"r_1012"	-22.0997	5.5444
"r_1013"	-43.6898	5.1411
"r_1014"	-20.5516	2.9879
"r_1015"	-20.5516	2.9879
"r_1016"	-3.5679	6.051
"r_1017"	-7.3218	5.1265
"r_1018"	3.5168	1.4892
"r_1019"	-5.0013	5.9999
"r_1020"	-3.5126	2.1697
"r_1021"	-267.7002	100000.0006
"r_1022"	-267.8246	100000.0006
"r_1026"	10.075	3.2462
"r_1027"	-31.3295	3.7318
"r_1030"	-15.6837	5.7903
"r_1031"	3.6109	6.4806
"r_1032"	-39.6784	3.9099
"r_1033"	69.988	100000.0002
"r_1034"	-73.8523	3.6427
"r_1035"	-8.9755	3.7845
"r_1036"	5.8012	2.4984
"r_1037"	-10.7666	3.075
"r_1038"	-7.4028	3.1999
"r_1041"	4.783	1.4119
"r_1042"	-31.0579	4.8112
"r_1043"	-34.906	5.9761
"r_1050"	-0.020593	3
"r_1051"	-0.020593	3
"r_1052"	-0.020593	3
"r_1055"	-12.7096	5.0644
"r_1056"	-1.8326	5.8097
"r_1057"	2.9482	1.2041
"r_1058"	-2.4224	2.206
"r_1059"	-5.6055	4.6194
"r_1060"	-5.6055	4.6194
"r_1061"	-13.0834	5.941
"r_1062"	54.9335	7.7905
"r_1063"	-109.4818	70710.6795
"r_1064"	-12.0339	7.0407
"r_1065"	-9.4305	7.293
"r_1066"	-0.13543	1.5071
"r_1067"	-0.13543	1.5071
"r_1068"	-36.8593	24.3701
"r_1069"	2153.5597	458257.5707
"r_1070"	-217.5792	400000.0014
"r_1071"	-44.8232	10.1614
"r_1072"	1.0948	4.3168
"r_1073"	1.9988	4.8058
"r_1074"	1.9988	4.8058
"r_1077"	-239.1166	100000.0001
"r_1078"	-239.1166	100000.0001
"r_1079"	-24.4077	3.247
"r_1080"	19.8641	4.4613
"r_1081"	-17.0597	4.5164
"r_1082"	-23.7199	5.1569
"r_1083"	-32.2213	2.9714
"r_1721"	0	0
"r_1722"	0	0
"r_1723"	0	0
"r_1724"	0	0
"r_1725"	0	0
"r_1726"	0	0
"r_1727"	0	0
"r_1728"	0	0
"r_1729"	0	0
"r_1811"	0	0
"r_1815"	0	0
"r_1862"	0	0
"r_1863"	0	0
